Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
Alabama,2021-01-02,365747,4872,202137,158738,1.3320683423240656
Alaska,2021-01-02,47019,206,7165,39648,0.4381207596928901
Arizona,2021-01-02,530267,9015,76934,444318,1.7000869373353424
Arkansas,2021-01-02,229442,3711,199247,26484,1.6174022192972517
California,2021-01-02,2436449,26168,NA,NA,1.0736043410244618
Colorado,2021-01-02,337161,4873,18102,314186,1.4453035790023163
Connecticut,2021-01-02,185708,5995,9800,169913,3.2281861847631768
Delaware,2021-01-02,58064,1065,18851,38148,1.8341829705152937
District of Columbia,2021-01-02,29252,788,20941,7523,2.6938329003145083
Florida,2021-01-02,1323315,21673,NA,NA,1.6377808760574768
Georgia,2021-01-02,677589,10958,NA,NA,1.6172045295894708
Hawaii,2021-01-02,22397,289,11958,10150,1.2903513863463856
Idaho,2021-01-02,141077,1436,58649,80992,1.0178838506631132
Illinois,2021-01-02,963389,17978,NA,NA,1.8661205390553557
Indiana,2021-01-02,517773,9468,345474,162831,1.8286005643399712
Iowa,2021-01-02,282980,3898,241229,37853,1.3774825075977102
Kansas,2021-01-02,230108,2892,4612,222604,1.2568011542406174
Kentucky,2021-01-02,265261,2623,36740,225898,0.9888374091932096
Louisiana,2021-01-02,315275,7488,263712,44075,2.3750693838712236
Maine,2021-01-02,24902,352,11374,13176,1.4135410810376676
Maryland,2021-01-02,280219,5942,9358,264919,2.120484335466189
Massachusetts,2021-01-02,375178,12423,261672,101083,3.3112282703143574
Michigan,2021-01-02,528621,13018,318389,197214,2.4626339097387353
Minnesota,2021-01-02,415302,5382,397080,12840,1.2959244116329804
Mississippi,2021-01-02,218386,4816,167263,46307,2.205269568562087
Missouri,2021-01-02,445019,5747,397080,42192,1.2914055354939902
Montana,2021-01-02,81555,961,74991,5603,1.178345901538839
Nebraska,2021-01-02,167716,1668,107694,58354,0.994538386319731
Nevada,2021-01-02,227046,3143,NA,NA,1.3843009786563076
New Hampshire,2021-01-02,45932,759,37350,7823,1.6524427414438736
New Jersey,2021-01-02,535043,19160,56109,459774,3.5810205908683974
New Mexico,2021-01-02,144142,2502,66638,75002,1.7357883198512578
New York,2021-01-02,995816,37973,102968,854875,3.8132546574869255
North Carolina,2021-01-02,539545,6748,403488,129309,1.2506834462371073
North Dakota,2021-01-02,92770,1316,89314,2140,1.4185620351406705
Ohio,2021-01-02,700380,13766,556106,130508,1.9655044404466149
Oklahoma,2021-01-02,291209,2489,255843,32877,0.854712594734366
Oregon,2021-01-02,113909,1477,5870,106562,1.2966490795283954
