POS,BIB,ATHLETE,COUNTRY,MARK,RxnTime,Race,Round,Gender,Year
1,,Laurien†HOOS,NEDNED,13.52,0.174,100 m H,Heptathlon,F,2008
2,,Haili†LIU,CHNCHN,13.56,0.199,100 m H,Heptathlon,F,2008
3,,Karolina†TYMINSKA,POLPOL,13.62,0.177,100 m H,Heptathlon,F,2008
4,,Javur J.†SHOBHA,INDIND,13.62,0.21,100 m H,Heptathlon,F,2008
5,,Kylie†WHEELER,AUSAUS,13.68,0.18,100 m H,Heptathlon,F,2008
6,,Gretchen†QUINTANA,CUBCUB,13.77,0.171,100 m H,Heptathlon,F,2008
7,,Linda†Z‹BLIN,SUISUI,13.9,0.191,100 m H,Heptathlon,F,2008
8,,G. Pramila†AIYAPPA,INDIND,13.97,0.406,100 m H,Heptathlon,F,2008
9,,Sushmitha†SINGHA ROY,INDIND,14.11,0.262,100 m H,Heptathlon,F,2008
1,,Natallia†DOBRYNSKA,UKRUKR,13.44,0.192,100 m H,Heptathlon,F,2008
2,,Jolanda†KEIZER,NEDNED,13.9,0.247,100 m H,Heptathlon,F,2008
3,,Wassana†WINATHO,THATHA,13.93,0.211,100 m H,Heptathlon,F,2008
4,,AryirÛ†STRAT¡KI,GREGRE,14.05,0.224,100 m H,Heptathlon,F,2008
5,,Julie†HOLLMAN,GBRGBR,14.43,0.195,100 m H,Heptathlon,F,2008
6,,Kaie†KAND,ESTEST,14.47,0.242,100 m H,Heptathlon,F,2008
7,,Gyˆrgyi†ZSIVOCZKY-FARKAS,HUNHUN,14.66,0.236,100 m H,Heptathlon,F,2008
8,,Yana†MAKSIMAVA,BLRBLR,14.71,0.247,100 m H,Heptathlon,F,2008
,,Irina†KARPOVA,KAZKAZ,DNF,,100 m H,Heptathlon,F,2008
1,,Aiga†GRABUSTE,LATLAT,13.78,0.215,100 m H,Heptathlon,F,2008
2,,Niina†KELO,FINFIN,13.95,0.135,100 m H,Heptathlon,F,2008
3,,Yuliya†TARASOVA,UZBUZB,14.03,0.242,100 m H,Heptathlon,F,2008
4,,Ida†MARCUSSEN,NORNOR,14.07,0.158,100 m H,Heptathlon,F,2008
5,,Rebecca†WARDELL,NZLNZL,14.07,0.252,100 m H,Heptathlon,F,2008
6,,Viktorija†ùéEMAITYT…,LTULTU,14.44,0.175,100 m H,Heptathlon,F,2008
7,,Austra†SKUJYTE,LTULTU,14.46,0.18,100 m H,Heptathlon,F,2008
1,,Sonja†KESSELSCHLƒGER,GERGER,13.5,0.225,100 m H,Heptathlon,F,2008
2,,Lucimara†DA SILVA,BRABRA,13.55,0.177,100 m H,Heptathlon,F,2008
3,,Marie†COLLONVILL…,FRAFRA,13.57,0.169,100 m H,Heptathlon,F,2008
