,Ben_88,Lewis_88,Mo_99,Mo_01,Tim_02,Asafa_05,Bolt_08
RT,0.132,0.136,0.162,0.132,0.104,0.15,0.165
Start-10m,1.83,1.89,1.86,1.83,1.89,1.89,1.85
10-20m,1.04,1.07,1.03,1,1.03,1.02,1.02
20-30m,0.93,0.94,0.92,0.92,0.91,0.92,0.91
30-40m,0.86,0.89,0.88,0.89,0.87,0.86,0.87
40-50m,0.84,0.86,0.88,0.86,0.84,0.85,0.85
50-60m,0.83,0.83,0.83,0.83,0.83,0.85,0.82
60-70m,0.84,0.85,0.83,0.83,0.84,0.84,0.82
70-80m,0.85,0.85,0.86,0.86,0.84,0.84,0.82
80-90m,0.87,0.86,0.85,0.89,0.85,0.85,0.83
90-100m,0.9,0.88,0.85,0.91,0.88,0.85,0.9
TOTAL,9.79,9.92,9.79,9.82,9.78,9.77,9.69
