,Larry,Nixon,Smith,Williamson,Wariner,Merrit,Witherspoon,Neville
0-100,11.13,11.16,11.39,11.18,11.06,10.98,11.02,10.99
100-150,4.53,4.54,4.64,4.84,4.72,4.6,4.63,4.66
150-200,5.76,5.82,5.9,5.92,5.89,5.87,5.86,5.6
200-250,5.52,5.49,5.63,5.47,5.34,5.3,5.59,5.31
250-300,5.79,5.78,5.86,5.64,5.5,5.57,5.43,5.72
300-350,6.3,6.16,6.05,6.16,5.51,5.63,6.05,5.9
350-400,6.79,6.69,6.1,6.37,6.18,6.05,6.43,6.43
1st_200,21.42,21.52,21.93,21.94,21.67,21.45,21.51,21.25
2nd_200,24.4,24.12,23.64,23.64,22.53,22.55,23.5,23.36
Differential,2.98,2.6,1.71,1.7,0.86,1.1,1.99,2.11
TOTAL,45.82,45.64,45.57,45.58,44.2,44,45.01,44.61
